Draft_Year,Player,Pos,wAV,DrAV,G,College_Univ,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G_college,Rec,Yds,Y/R,TD,Y/G,Att,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college
2016,Will Fuller,WR,24.0,24.0,55.0,Notre Dame,6.7,6-0,186.0,4.32,33.5,10.0,126.0,6.93,4.27,32.0,144.0,2512.0,17.4,30.0,78.5,2.0,32.0,144.0,2512.0,17.4,30.0,78.5,2.0,32.0,144.0,2512.0,17.4,30.0,78.5,2.0,32.0,144.0,2512.0,17.4,30.0,78.5,2.0,32.0,144.0,2512.0,17.4,30.0,78.5,2.0,32.0,144.0,2512.0,17.4,30.0,78.5,2.0
2016,Josh Doctson,WR,9.0,9.0,34.0,TCU,6.3,6-2,202.0,4.5,41.0,14.0,131.0,6.84,4.08,46.0,215.0,3178.0,14.8,34.0,69.1,1.0,46.0,215.0,3178.0,14.8,34.0,69.1,1.0,46.0,215.0,3178.0,14.8,34.0,69.1,1.0,46.0,215.0,3178.0,14.8,34.0,69.1,1.0,46.0,215.0,3178.0,14.8,34.0,69.1,1.0,46.0,215.0,3178.0,14.8,34.0,69.1,1.0
2016,Laquon Treadwell,WR,8.0,5.0,83.0,Mississippi,6.8,6-2,221.0,4.52,33.0,12.0,117.0,,,35.0,202.0,2393.0,11.8,21.0,68.4,6.0,35.0,202.0,2393.0,11.8,21.0,68.4,6.0,35.0,202.0,2393.0,11.8,21.0,68.4,6.0,35.0,202.0,2393.0,11.8,21.0,68.4,6.0,35.0,202.0,2393.0,11.8,21.0,68.4,6.0,35.0,202.0,2393.0,11.8,21.0,68.4,6.0
2016,Sterling Shepard,WR,30.0,27.0,104.0,Oklahoma,6.2,5-10,194.0,4.48,41.0,20.0,123.0,7.0,4.35,50.0,233.0,3482.0,14.9,26.0,69.6,17.0,50.0,233.0,3482.0,14.9,26.0,69.6,17.0,50.0,233.0,3482.0,14.9,26.0,69.6,17.0,50.0,233.0,3482.0,14.9,26.0,69.6,17.0,50.0,233.0,3482.0,14.9,26.0,69.6,17.0,50.0,233.0,3482.0,14.9,26.0,69.6,17.0
2016,Michael Thomas,WR,60.0,60.0,83.0,Ohio St.,6.3,6-3,212.0,4.57,35.0,18.0,126.0,6.8,4.13,39.0,113.0,1602.0,14.2,18.0,41.1,0.0,39.0,113.0,1602.0,14.2,18.0,41.1,0.0,39.0,113.0,1602.0,14.2,18.0,41.1,0.0,39.0,113.0,1602.0,14.2,18.0,41.1,0.0,39.0,113.0,1602.0,14.2,18.0,41.1,0.0,39.0,113.0,1602.0,14.2,18.0,41.1,0.0
2016,Tyler Boyd,WR,48.0,46.0,136.0,Pittsburgh,6.4,6-1,197.0,4.58,34.0,11.0,119.0,6.9,4.35,38.0,254.0,3361.0,13.2,21.0,88.4,63.0,38.0,254.0,3361.0,13.2,21.0,88.4,63.0,38.0,254.0,3361.0,13.2,21.0,88.4,63.0,38.0,254.0,3361.0,13.2,21.0,88.4,63.0,38.0,254.0,3361.0,13.2,21.0,88.4,63.0,38.0,254.0,3361.0,13.2,21.0,88.4,63.0
2017,Corey Davis,WR,31.0,24.0,78.0,Western Michigan,6.7,6-3,209.0,,,,,,,50.0,332.0,5285.0,15.9,52.0,105.7,3.0,50.0,332.0,5285.0,15.9,52.0,105.7,3.0,50.0,332.0,5285.0,15.9,52.0,105.7,3.0,50.0,332.0,5285.0,15.9,52.0,105.7,3.0,50.0,332.0,5285.0,15.9,52.0,105.7,3.0,50.0,332.0,5285.0,15.9,52.0,105.7,3.0
2017,Mike Williams,WR,38.0,37.0,106.0,Clemson,6.8,6-4,218.0,,32.5,15.0,121.0,,,39.0,177.0,2727.0,15.4,21.0,69.9,0.0,39.0,177.0,2727.0,15.4,21.0,69.9,0.0,39.0,177.0,2727.0,15.4,21.0,69.9,0.0,39.0,177.0,2727.0,15.4,21.0,69.9,0.0,39.0,177.0,2727.0,15.4,21.0,69.9,0.0,39.0,177.0,2727.0,15.4,21.0,69.9,0.0
2017,John Ross,WR,7.0,5.0,38.0,Washington,6.7,5-11,188.0,4.22,37.0,,133.0,,,40.0,114.0,1729.0,15.2,22.0,43.2,20.0,40.0,114.0,1729.0,15.2,22.0,43.2,20.0,40.0,114.0,1729.0,15.2,22.0,43.2,20.0,40.0,114.0,1729.0,15.2,22.0,43.2,20.0,40.0,114.0,1729.0,15.2,22.0,43.2,20.0,40.0,114.0,1729.0,15.2,22.0,43.2,20.0
2017,Zay Jones,WR,25.0,8.0,115.0,East Carolina,6.2,6-2,201.0,4.45,36.5,15.0,133.0,6.79,4.01,49.0,399.0,4279.0,10.7,23.0,87.3,5.0,49.0,399.0,4279.0,10.7,23.0,87.3,5.0,49.0,399.0,4279.0,10.7,23.0,87.3,5.0,49.0,399.0,4279.0,10.7,23.0,87.3,5.0,49.0,399.0,4279.0,10.7,23.0,87.3,5.0,49.0,399.0,4279.0,10.7,23.0,87.3,5.0
2017,Curtis Samuel,WR,29.0,17.0,105.0,Ohio St.,6.2,5-11,196.0,4.31,37.0,18.0,119.0,7.09,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
