Draft_Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Receive_Rec,Receive_Yds,Receive_TD,Solo,Int,Sk,College_Univ,College Stats,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
2014,1,30,SFO,Jimmie Ward,DB,23,2024.0,0,0,6,31.0,25.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,10.0,3.0,Northern Illinois,College Stats,5.6,5-11,193.0,4.59,,9.0,,,
2014,1,31,DEN,Bradley Roby,DB,22,2023.0,0,0,4,26.0,14.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,11.0,5.0,Ohio St.,College Stats,6.7,5-11,194.0,4.39,38.5,17.0,124.0,,4.04
2014,1,32,MIN,Teddy Bridgewater,QB,21,2024.0,0,1,4,49.0,22.0,79.0,1372.0,2067.0,15120.0,75.0,47.0,221.0,844.0,11.0,0.0,0.0,0.0,,,,Louisville,College Stats,6.8,6-2,214.0,,30.0,,113.0,7.17,4.2
2014,2,33,HOU,Xavier Su'a-Filo,G,23,2021.0,0,0,3,24.0,17.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,UCLA,College Stats,6.2,6-4,307.0,5.04,25.0,25.0,102.0,7.6,4.44
2014,2,35,CLE,Joel Bitonio,G,22,2024.0,2,7,10,73.0,73.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,Nevada,College Stats,6.1,6-4,302.0,4.92,32.0,22.0,114.0,7.37,4.44
2014,2,36,OAK,Derek Carr,QB,23,2024.0,0,4,11,93.0,80.0,169.0,3765.0,5785.0,41245.0,257.0,112.0,327.0,956.0,7.0,1.0,-9.0,0.0,,,,Fresno St.,College Stats,6.3,6-2,214.0,4.69,34.5,,110.0,,4.2
2014,2,37,ATL,Ra'Shede Hageman,DT,24,2016.0,0,0,1,8.0,8.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,,4.0,Minnesota,College Stats,6.7,6-6,310.0,4.92,35.5,32.0,114.0,7.87,4.5
2014,2,38,TAM,Austin Seferian-Jenkins,TE,21,2018.0,0,0,2,9.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,1160.0,11.0,,,,Washington,College Stats,6.1,6-5,262.0,4.75,,20.0,,,
2014,2,39,JAX,Marqise Lee,WR,22,2019.0,0,0,2,17.0,17.0,59.0,1.0,2.0,20.0,1.0,0.0,16.0,100.0,0.0,174.0,2184.0,8.0,,,,USC,College Stats,6.7,6-0,192.0,4.52,38.0,,127.0,,4.01
2014,2,40,DET,Kyle Van Noy,LB,23,2024.0,0,1,7,58.0,4.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,3.0,55.0,BYU,College Stats,6.1,6-3,243.0,4.71,32.5,21.0,112.0,7.22,4.2
2014,2,41,STL,Lamarcus Joyner,DB,23,2022.0,0,0,4,26.0,15.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,7.0,5.0,Florida St.,College Stats,5.8,5-8,184.0,4.55,37.5,14.0,124.0,7.26,4.4
2014,2,42,PHI,Jordan Matthews,WR,22,2024.0,0,0,3,23.0,21.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,3288.0,22.0,,,,Vanderbilt,College Stats,6.1,6-3,212.0,4.46,35.5,21.0,120.0,6.95,4.18
2014,2,43,NYG,Weston Richburg,OL,23,2019.0,0,0,5,33.0,21.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Colorado St.,College Stats,5.8,6-3,298.0,5.1,25.5,25.0,106.0,7.93,4.63
2014,2,44,BUF,Cyrus Kouandjio,T,21,2018.0,0,0,0,6.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Alabama,College Stats,6.2,6-7,322.0,5.59,27.5,21.0,96.0,7.71,4.84
2014,2,45,SEA,Paul Richardson,WR,22,2019.0,0,0,3,14.0,11.0,64.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,143.0,1809.0,12.0,2.0,,,Colorado,College Stats,5.8,6-0,175.0,4.4,38.0,,124.0,7.09,
2014,2,46,PIT,Stephon Tuitt,DE,21,2020.0,0,0,6,38.0,38.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,1.0,34.5,Notre Dame,College Stats,6.8,6-5,304.0,4.92,,31.0,,,
