Player,Pos,College Stats URL
Marlon Humphrey,CB,http://www.sports-reference.com/cfb/players/marlon-humphrey-1.html
Jonathan Allen,DE,http://www.sports-reference.com/cfb/players/jonathan-allen-1.html
Adoree' Jackson,CB,http://www.sports-reference.com/cfb/players/adoree-jackson-1.html
Garett Bolles,T,http://www.sports-reference.com/cfb/players/garrett-bolles-1.html
Jarrad Davis,LB,http://www.sports-reference.com/cfb/players/jarrad-davis-1.html
Charles Harris,OLB,http://www.sports-reference.com/cfb/players/charles-harris-4.html
Gareon Conley,CB,http://www.sports-reference.com/cfb/players/gareon-conley-1.html
Jabrill Peppers,S,http://www.sports-reference.com/cfb/players/jabrill-peppers-1.html
Takkarist McKinley,DE,http://www.sports-reference.com/cfb/players/takkarist-mckinley-1.html
Tre'Davious White,CB,http://www.sports-reference.com/cfb/players/tredavious-white-1.html
Taco Charlton,DE,http://www.sports-reference.com/cfb/players/taco-charlton-1.html
T.J. Watt,OLB,http://www.sports-reference.com/cfb/players/tj-watt-1.html
Reuben Foster,LB,http://www.sports-reference.com/cfb/players/reuben-foster-1.html
Ryan Ramczyk,T,http://www.sports-reference.com/cfb/players/ryan-ramczyk-1.html
Kevin King,CB,http://www.sports-reference.com/cfb/players/kevin-king-5.html
Cam Robinson,T,http://www.sports-reference.com/cfb/players/cam-robinson-2.html
Malik McDowell,DT,http://www.sports-reference.com/cfb/players/malik-mcdowell-1.html
Budda Baker,S,http://www.sports-reference.com/cfb/players/budda-baker-1.html
Forrest Lamp,G,http://www.sports-reference.com/cfb/players/forrest-lamp-1.html
Marcus Maye,S,http://www.sports-reference.com/cfb/players/marcus-maye-1.html
Marcus Williams,S,http://www.sports-reference.com/cfb/players/marcus-williams-9.html
Sidney Jones,CB,http://www.sports-reference.com/cfb/players/sidney-jones-1.html
Quincy Wilson,CB,http://www.sports-reference.com/cfb/players/quincy-wilson-2.html
Tyus Bowser,OLB,http://www.sports-reference.com/cfb/players/tyus-bowser-1.html
Ryan Anderson,OLB,http://www.sports-reference.com/cfb/players/ryan-anderson-1.html
Justin Evans,S,http://www.sports-reference.com/cfb/players/justin-evans-1.html
DeMarcus Walker,DE,http://www.sports-reference.com/cfb/players/demarcus-walker-1.html
Teez Tabor,CB,http://www.sports-reference.com/cfb/players/jalen-tabor-1.html
Raekwon McMillan,LB,http://www.sports-reference.com/cfb/players/raekwon-mcmillan-1.html
Dalvin Tomlinson,DT,http://www.sports-reference.com/cfb/players/dalvin-tomlinson-1.html
Obi Melifonwu,S,http://www.sports-reference.com/cfb/players/obi-melifonwu-1.html
Zach Cunningham,LB,http://www.sports-reference.com/cfb/players/zach-cunningham-1.html
Ethan Pocic,C,http://www.sports-reference.com/cfb/players/ethan-pocic-1.html
Chidobe Awuzie,CB,http://www.sports-reference.com/cfb/players/chidobe-awuzie-1.html
Josh Jones,S,http://www.sports-reference.com/cfb/players/josh-jones-3.html
Dion Dawkins,G,http://www.sports-reference.com/cfb/players/dion-dawkins-1.html
Taylor Moton,G,http://www.sports-reference.com/cfb/players/taylor-moton-1.html
Denzel Ward,CB,http://www.sports-reference.com/cfb/players/denzel-ward-3.html
Bradley Chubb,DE,http://www.sports-reference.com/cfb/players/bradley-chubb-1.html
Quenton Nelson,G,http://www.sports-reference.com/cfb/players/quenton-nelson-1.html
Roquan Smith,ILB,http://www.sports-reference.com/cfb/players/roquan-smith-1.html
Mike McGlinchey,T,http://www.sports-reference.com/cfb/players/mike-mcglinchey-1.html
Minkah Fitzpatrick,S,http://www.sports-reference.com/cfb/players/minkah-fitzpatrick-1.html
Vita Vea,DT,http://www.sports-reference.com/cfb/players/vita-vea-1.html
Daron Payne,DT,http://www.sports-reference.com/cfb/players/daron-payne-1.html
Marcus Davenport,DE,http://www.sports-reference.com/cfb/players/marcus-davenport-1.html
Kolton Miller,T,http://www.sports-reference.com/cfb/players/kolton-miller-1.html
Tremaine Edmunds,ILB,http://www.sports-reference.com/cfb/players/tremaine-edmunds-1.html
Derwin James,S,http://www.sports-reference.com/cfb/players/derwin-james-1.html
Jaire Alexander,CB,http://www.sports-reference.com/cfb/players/jaire-alexander-1.html
Leighton Vander Esch,OLB,http://www.sports-reference.com/cfb/players/leighton-vander-esch-1.html
Frank Ragnow,C,http://www.sports-reference.com/cfb/players/frank-ragnow-1.html
Billy Price,C,http://www.sports-reference.com/cfb/players/billy-price-1.html
Rashaan Evans,ILB,http://www.sports-reference.com/cfb/players/rashaan-evans-1.html
Isaiah Wynn,T,http://www.sports-reference.com/cfb/players/isaiah-wynn-1.html
Terrell Edmunds,S,http://www.sports-reference.com/cfb/players/terrell-edmunds-1.html
Taven Bryan,DT,http://www.sports-reference.com/cfb/players/taven-bryan-1.html
Mike Hughes,CB,http://www.sports-reference.com/cfb/players/mike-hughes-4.html
Austin Corbett,C,http://www.sports-reference.com/cfb/players/austin-corbett-2.html
Will Hernandez,G,http://www.sports-reference.com/cfb/players/will-hernandez-1.html
Braden Smith,G,http://www.sports-reference.com/cfb/players/braden-smith-2.html
James Daniels,C,http://www.sports-reference.com/cfb/players/james-daniels-1.html
Harold Landry,OLB,http://www.sports-reference.com/cfb/players/harold-landry-1.html
Josh Jackson,CB,http://www.sports-reference.com/cfb/players/joshua-jackson-3.html
Breeland Speaks,DE,http://www.sports-reference.com/cfb/players/breeland-speaks-1.html
Uchenna Nwosu,OLB,http://www.sports-reference.com/cfb/players/uchenna-nwosu-1.html
Connor Williams,T,http://www.sports-reference.com/cfb/players/connor-williams-2.html
Kemoko Turay,OLB,http://www.sports-reference.com/cfb/players/kemoko-turay-1.html
M.J. Stewart,CB,http://www.sports-reference.com/cfb/players/mj-stewart-1.html
Jessie Bates III,S,http://www.sports-reference.com/cfb/players/jessie-bates-1.html
Donte Jackson,CB,http://www.sports-reference.com/cfb/players/donte-jackson-1.html
Duke Dawson,CB,http://www.sports-reference.com/cfb/players/duke-dawson-1.html
Isaiah Oliver,CB,http://www.sports-reference.com/cfb/players/isaiah-oliver-1.html
Brian O'Neill,T,http://www.sports-reference.com/cfb/players/brian-oneill-1.html
Carlton Davis,CB,http://www.sports-reference.com/cfb/players/carlton-davis-1.html
Tyquan Lewis,DE,http://www.sports-reference.com/cfb/players/tyquan-lewis-1.html
