Draft_Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Receive_Rec,Receive_Yds,Receive_TD,Solo,Int,Sk,College_Univ,College Stats,Prospect_Grade,College Stats URL,,
2015,1,25,CAR,Shaq Thompson,OLB,21,2024,0,0,8,41,41,123,0,0,0,0,0,0,0,0,0,0,0,470,3,12,Washington,College Stats,6.7,http://www.sports-reference.com/cfb/players/shaq-thompson-1.html,,
2015,1,26,BAL,Breshad Perriman,WR,21,2022,0,0,1,15,4,80,0,0,0,0,0,11,16,0,145,2343,16,,,,Central Florida,College Stats,6.3,http://www.sports-reference.com/cfb/players/breshad-perriman-1.html,,
2015,1,27,DAL,Byron Jones,CB,22,2021,0,1,7,38,29,109,0,0,0,0,0,0,0,0,0,0,0,345,4,,Connecticut,College Stats,5.8,http://www.sports-reference.com/cfb/players/byron-jones-2.html,,
2015,1,28,DET,Laken Tomlinson,G,23,2024,0,1,10,54,11,163,0,0,0,0,0,0,0,0,0,0,0,,,,Duke,College Stats,6.1,http://www.sports-reference.com/cfb/players/laken-tomlinson-1.html,,
2015,1,29,IND,Phillip Dorsett,WR,22,2023,0,0,0,16,7,94,0,1,0,0,0,14,84,0,151,2001,12,,,,Miami (FL),College Stats,6.2,http://www.sports-reference.com/cfb/players/phillip-dorsett-1.html,,
2015,1,30,GNB,Damarious Randall,S,23,2020,0,0,5,21,11,75,0,0,0,0,0,0,0,0,0,0,0,244,14,2.5,Arizona St.,College Stats,5.9,http://www.sports-reference.com/cfb/players/damarious-randall-1.html,,
2015,1,31,NOR,Stephone Anthony,ILB,23,2019,0,0,1,10,9,62,0,0,0,0,0,0,0,0,0,0,0,97,1,1,Clemson,College Stats,5.9,http://www.sports-reference.com/cfb/players/stephone-anthony-1.html,,
2015,1,32,NWE,Malcom Brown,DT,21,2021,0,0,6,43,27,106,0,0,0,0,0,0,0,0,0,0,0,160,,13.5,Texas,College Stats,6.7,http://www.sports-reference.com/cfb/players/malcom-brown-1.html,,
2015,2,33,NYG,Landon Collins,S,21,2022,1,3,6,42,32,100,0,0,0,0,0,0,0,0,0,0,0,489,12,11,Alabama,College Stats,6.8,http://www.sports-reference.com/cfb/players/landon-collins-1.html,,
2015,2,34,TAM,Donovan Smith,T,22,2023,0,0,9,57,53,136,0,0,0,0,0,0,0,0,1,0,0,,,,Penn St.,College Stats,5.8,http://www.sports-reference.com/cfb/players/donovan-smith-1.html,,
2015,2,35,OAK,Mario Edwards,DT,21,2024,0,0,2,24,10,127,0,0,0,0,0,0,0,0,0,0,0,122,,24.5,Florida St.,College Stats,6.1,http://www.sports-reference.com/cfb/players/mario-edwards-jr-1.html,,
2015,2,36,JAX,T.J. Yeldon,RB,21,2020,0,0,2,20,19,60,0,0,0,0,0,492,2005,6,185,1448,7,,,,Alabama,College Stats,6.2,http://www.sports-reference.com/cfb/players/tj-yeldon-1.html,,
2015,2,37,NYJ,Devin Smith,WR,23,2021,0,0,0,2,1,22,0,0,0,0,0,0,0,0,15,248,2,3,,,Ohio St.,College Stats,6.2,http://www.sports-reference.com/cfb/players/devin-smith-2.html,,
2015,2,38,WAS,Preston Smith,DE,22,2024,0,0,8,55,21,163,0,0,0,0,0,0,0,0,0,0,0,275,5,70.5,Mississippi St.,College Stats,6.1,http://www.sports-reference.com/cfb/players/preston-smith-2.html,,
